日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date
2017-05-19,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1597.7,,,0.0,0.0,5.0,,2017-05-19
2017-05-22,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1597.4,,,0.0,0.0,5.0,,2017-05-22
2017-05-23,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1597.34,,,0.0,0.0,5.0,,2017-05-23
2017-05-24,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1596.81,,,0.0,0.0,5.0,,2017-05-24
2017-05-25,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1599.12,,,0.0,0.0,5.0,,2017-05-25
2017-05-26,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1599.01,,,0.0,0.0,5.0,,2017-05-26
2017-05-31,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1600.17,,,0.0,0.0,5.0,,2017-05-31
2017-06-01,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1599.99,,,0.0,0.0,5.0,,2017-06-01
2017-06-02,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1600.06,,,0.0,0.0,5.0,,2017-06-02
2017-06-05,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1602.34,,,0.0,0.0,5.0,,2017-06-05
2017-06-06,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1603.99,,,0.0,0.0,5.0,,2017-06-06
2017-06-07,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1605.38,,,0.0,0.0,5.0,,2017-06-07
2017-06-08,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1605.03,,,0.0,0.0,5.0,,2017-06-08
